ISBN,Title,Authors,Price,Inventory Quantity
7-3053-7235-5,The Silent Pact,Samuel Chen,118.5,19
3-2315-9183-8,The Lost World,Emily Davis,28.72,10
2-0746-2657-3,Dancing in the Dark,Ava Wilson,159.44,1
8-6299-5681-9,The Burning Bridge,Ethan Lee,56.27,2
4-9974-0124-4,The Midnight Train,Olivia Kim,80.43,5
2-7012-7944-6,The Secret Heir,Lily Park,276.65,11
9-4321-3085-7,The Hidden Trail,William Brown,29.18,16
6-2863-0169-6,The Last Hope,Rachel Wang,227.21,0
8-1246-4929-1,The Forgotten Forest,Lucas Chen,47.07,3
1-5748-7826-4,A Shadow in the Night,Sarah Johnson,152.39,17
4-6218-7028-9,The Broken Promise,Daniel Lee,251.95,8
6-1192-1817-8,The Crystal Cavern,Emma Liu,196.42,15
1-2316-5035-5,The Cursed Crown,Jacob Smith,6.34,9
9-9055-3799-3,The Wandering Mage,Sophia Davis,134.87,4
7-0081-5705-7,The Savage Lands,Joshua Kim,101.87,0
3-6650-9822-2,The Endless Horizon,Grace Brown,295.89,18
5-7365-2077-8,The Forbidden Island,Benjamin Chen,228.41,6
1-8541-3491-5,The Enchanted Wood,Victoria Lee,71.81,7
2-7963-4163-2,The Ghost Ship,Kevin Wang,88.03,0
8-0152-0327-1,The Crimson Sky,Natalie Kim,235.73,14
6-3891-9069-6,The Whispering Wind,Anthony Davis,50.38,20
4-1506-6758-4,The Final Hour,Zoe Lee,187.48,12
7-0874-9436-7,The Haunted Mansion,Samuel Johnson,244.59,0
1-9359-4153-1,The Mysterious Stranger,Audrey Chen,197.31,13
3-4202-6793-3,The Steel Blade,Justin Park,73.41,0
5-1286-1769-9,The Burning Sun,Grace Lee,127.54,19
2-8243-0492-2,The Darkening Sky,Eric Kim,283.41,0
8-6651-2797-0,The Deadly Curse,Sophia Wang,284.12,8
4-3030-6306-1,The Golden City,Ryan Davis,38.62,2
9-7498-3015-5,The Rising Tide,Emily Lee,187.22,1
